,image_name,weather,scene,timeofday,category,x1,y1,x2,y2,width,height,occluded,truncated,is_valid_box
34,c338bae4-6f7b7153,rainy,city street,daytime,car,1052.317884,415.657897,1067.665253,415.657897,15.347368999999844,0.0,True,False,False
35,c4f59bdd-00356764,partly cloudy,highway,daytime,traffic sign,487.394254,509.455191,487.394254,519.999572,0.0,10.54438099999993,True,False,False
36,c55ab634-b93da9ef,clear,city street,daytime,car,1122.178144,469.478954,1134.159663,469.478954,11.981518999999935,0.0,True,False,False
37,c55ab634-b93da9ef,clear,city street,daytime,car,1122.178144,396.092153,1147.63887,396.092153,25.460726000000022,0.0,True,False,False
38,c585c0c4-f0596352,clear,highway,night,car,941.596557,214.29927,970.680028,214.29927,29.08347100000003,0.0,False,False,False
39,c5b2506d-1c31cee3,clear,city street,daytime,car,556.299794,401.04416,556.299794,411.150024,0.0,10.105863999999997,False,True,False
40,c5c8a92c-ed6160d8,overcast,city street,daytime,truck,495.513887,324.665388,502.166867,324.665388,6.652980000000014,0.0,True,False,False
41,c62dc284-926392bf,snowy,residential,daytime,car,612.794106,408.374718,612.794106,421.874711,0.0,13.499993000000018,True,False,False
42,c6549c4a-58a407e4,clear,city street,night,traffic light,857.289408,180.014115,857.289408,187.359197,0.0,7.345081999999991,True,False,False
43,c69d1519-dfb88cdf,overcast,highway,daytime,car,522.449817,481.949831,522.449817,492.749828,0.0,10.799996999999962,False,False,False
44,c7648772-cbd18adf,clear,city street,night,person,232.840634,349.260952,232.840634,377.5423,0.0,28.281348000000037,True,False,False
45,c7cc0f8c-a9cabb69,clear,city street,dawn/dusk,car,636.098165,408.196753,645.214222,408.196753,9.116056999999955,0.0,False,False,False
46,c8069625-0a547aca,clear,city street,night,car,1163.243131,520.5045,1163.243131,525.643474,0.0,5.138973999999962,False,True,False
47,c8650e15-38bef9dc,overcast,highway,daytime,traffic sign,739.356519,642.937058,752.856511,642.937058,13.499991999999907,0.0,False,False,False
48,c92aeef7-a19d7070,clear,city street,night,car,630.115792,561.489319,646.336594,561.489319,16.220801999999935,0.0,True,False,False
49,ca049e30-02338b16,clear,city street,night,traffic sign,763.338168,209.676574,790.296585,209.676574,26.958417000000054,0.0,False,False,False
50,ca057c8b-e42f0882,clear,city street,daytime,car,991.431703,432.527289,1000.431701,432.527289,8.999998000000005,0.0,False,False,False
51,ca3e6e3d-cc5275dd,undefined,city street,daytime,traffic light,1142.991473,225.535848,1150.97504,225.535848,7.983566999999994,0.0,False,False,False
